timestamp,fridge_value,stove_value,motion_value
2025-05-04 17:00:00,5,0,2
2025-05-04 18:00:00,1,0,4
2025-05-04 19:00:00,0,1,4
2025-05-04 20:00:00,1,1,5
2025-05-04 21:00:00,2,2,4
2025-05-04 22:00:00,1,1,4
2025-05-04 23:00:00,0,2,0
2025-05-05 00:00:00,2,2,3
2025-05-05 01:00:00,2,1,6
2025-05-05 02:00:00,1,1,2
2025-05-05 03:00:00,0,0,5
2025-05-05 04:00:00,3,0,3
2025-05-05 05:00:00,3,1,3
2025-05-05 06:00:00,1,0,2
2025-05-05 07:00:00,0,0,6
2025-05-05 08:00:00,0,2,5
2025-05-05 09:00:00,4,2,3
2025-05-05 10:00:00,1,0,4
2025-05-05 11:00:00,3,0,3
2025-05-05 12:00:00,4,0,0
2025-05-05 13:00:00,1,1,5
2025-05-05 14:00:00,1,1,4
2025-05-05 15:00:00,0,1,6
2025-05-05 16:00:00,0,1,2
2025-05-05 17:00:00,0,1,3
2025-05-05 18:00:00,3,2,2
2025-05-05 19:00:00,2,1,3
2025-05-05 20:00:00,2,1,1
2025-05-05 21:00:00,1,0,5
2025-05-05 22:00:00,2,0,5
2025-05-05 23:00:00,2,1,3
2025-05-06 00:00:00,0,4,3
2025-05-06 01:00:00,1,1,2
2025-05-06 02:00:00,3,1,4
2025-05-06 03:00:00,4,5,2
2025-05-06 04:00:00,3,1,4
2025-05-06 05:00:00,0,0,2
2025-05-06 06:00:00,0,2,3
2025-05-06 07:00:00,0,3,2
2025-05-06 08:00:00,1,3,4
2025-05-06 09:00:00,2,1,1
2025-05-06 10:00:00,2,0,4
2025-05-06 11:00:00,5,3,5
2025-05-06 12:00:00,1,3,1
2025-05-06 13:00:00,3,1,2
2025-05-06 14:00:00,4,1,2
2025-05-06 15:00:00,2,0,4
2025-05-06 16:00:00,3,1,5
2025-05-06 17:00:00,2,1,5
2025-05-06 18:00:00,1,1,3
2025-05-06 19:00:00,4,2,1
2025-05-06 20:00:00,1,2,5
2025-05-06 21:00:00,3,0,4
2025-05-06 22:00:00,1,1,4
2025-05-06 23:00:00,1,2,9
2025-05-07 00:00:00,3,0,4
2025-05-07 01:00:00,0,1,2
2025-05-07 02:00:00,1,0,0
2025-05-07 03:00:00,1,3,3
2025-05-07 04:00:00,0,2,1
2025-05-07 05:00:00,1,0,13
2025-05-07 06:00:00,2,1,1
2025-05-07 07:00:00,0,1,2
2025-05-07 08:00:00,3,0,4
2025-05-07 09:00:00,4,0,9
2025-05-07 10:00:00,4,0,6
2025-05-07 11:00:00,1,5,2
2025-05-07 12:00:00,1,1,3
2025-05-07 13:00:00,0,2,4
2025-05-07 14:00:00,0,1,10
2025-05-07 15:00:00,4,0,1
2025-05-07 16:00:00,2,1,3
2025-05-07 17:00:00,1,0,1
2025-05-07 18:00:00,1,1,2
2025-05-07 19:00:00,3,1,6
2025-05-07 20:00:00,4,4,4
2025-05-07 21:00:00,4,1,4
2025-05-07 22:00:00,3,1,3
2025-05-07 23:00:00,2,1,3
2025-05-08 00:00:00,2,3,8
